# dirty words, add() ms, build() ms, search() avg ms, filter() avg ms
139600,7,743118,162187,211.6
139800,7,775822,163668,199.2
140000,9,766731,169919,201.2
140200,7,780946,166129,204.2
140400,8,764059,157092,194.6
140600,6,774208,158584,193.6
140800,6,768837,156882,198.2
141000,7,767161,157311,199.2
141200,6,795496,162120,196.4
141400,6,766809,168274,195.6
141600,7,760235,162744,194.2
141800,8,756468,160199,195.4
142000,7,761289,165856,191.6
142200,6,755681,158456,191.4
142400,7,763826,157564,189.8
142600,0,761945,158859,198.2
142800,6,766936,168487,202.8
143000,7,791576,162543,190.8
143200,7,769307,160186,198
143400,6,794631,162323,190.8
143600,7,770183,166777,196
143800,7,777691,168395,203.6
144000,9,795527,173450,193.6
144200,8,776910,168486,205.4
144400,6,788687,160077,196.8
144600,6,782244,161168,252.2
144800,6,806905,162698,208
145000,6,790847,161020,201.8
145200,7,783691,165693,191.8
145400,7,773354,164280,197.8
145600,6,789960,171670,194.4
145800,5,798137,175500,207.6
146000,6,804833,169846,197.4
146200,0,800414,165628,203
146400,6,825899,168032,196.2
146600,6,807418,175896,211
146800,7,797664,167990,204.6
147000,7,798416,173542,203.6
147200,6,815232,168725,205
147400,8,807461,170465,204.2
147600,5,819688,167700,197
147800,0,797390,168858,209.2
148000,7,793600,166877,201.2
148200,6,798327,169386,194.2
148400,7,794619,176598,203
148600,6,814159,168986,200.6
148800,7,826912,166884,198.4
149000,8,812572,170080,202
149200,6,803557,178378,199.6
149400,6,791252,179056,201
149600,0,806042,176696,197.6
149800,6,794790,167277,202
150000,7,806421,167040,201.8
150200,6,840046,171688,206
150400,6,827129,168352,206
150600,6,826592,179336,207.2
150800,0,819077,180518,229.2
151000,6,839673,170556,196
151200,12,821734,170576,201.4
151400,5,825211,170468,202.4
151600,6,825235,182290,261.8
151800,7,831802,183328,201.8
152000,6,818663,177264,248
152200,0,836027,172402,199.6
152400,6,839762,170089,202
152600,6,804839,170904,196.2
152800,6,802975,174386,212.8
153000,7,832816,170800,202.4
153200,7,854446,170531,195.4
153400,8,822013,171432,198.4
153600,7,852182,172934,201.6
153800,6,854461,185800,206.2
154000,7,830351,182617,201.8
154200,6,837639,170790,196.6
154400,7,819764,172670,204
154600,6,849617,175179,203.4
154800,0,835254,177724,199.6
155000,7,833787,185616,198.2
155200,0,835174,174962,197
155400,7,856184,176012,201.8
155600,6,854271,179594,215
155800,7,845918,178306,213.2
156000,9,858741,185316,201.8
156200,6,849070,182438,203
156400,7,866020,176754,219.6
156600,7,880886,179022,197.6
156800,6,840543,176994,195.4
157000,6,839429,177774,201.6
157200,15,836245,174710,195.8
157400,7,843598,175962,200.8
157600,6,837423,175111,202
157800,7,849429,183972,204.8
158000,7,885235,185389,210
158200,6,914967,190498,205.2
158400,6,923098,187929,213
158600,0,877751,197814,221
158800,6,929552,186944,204.4
159000,6,897397,186438,211.2
159200,7,904397,193577,218.6
